 DATE-GMT,TIME-GMT,OBSPWR,FCSTPWR,ERR
20040101,100,25.2,21.2,-3.9
20040101,200,17.7,20.9,3.2
20040101,300,18.9,15.9,-3
20040101,400,24.1,17.6,-6.5
20040101,500,24.2,25.2,1
20040101,600,40.4,32.1,-8.2
20040101,700,51.4,37.9,-13.5
20040101,800,65.2,47.6,-17.6
20040101,900,85.4,55.9,-29.4
20040101,1000,97.1,62.4,-34.7
20040101,1100,94.3,77.4,-16.9
20040101,1200,52.4,61.4,9
20040101,1300,18.9,52.1,33.2
20040101,1400,9.7,55.3,45.6
20040101,1500,7.2,47.2,39.9
20040101,1600,6.3,41.7,35.4
20040101,1700,5,44.2,39.2
20040101,1800,6.2,14.9,8.7
20040101,1900,15.7,15.5,-0.2
20040101,2000,17.3,14.3,-3.1
20040101,2100,8,4,-3.9
20040101,2200,9.2,11.4,2.1
20040101,2300,17.5,9.4,-8.1
20040102,0,24.5,14.5,-9.9
20040102,100,15.4,14.6,-0.8
20040102,200,12.4,11.2,-1.2
20040102,300,17.3,8.8,-8.5
20040102,400,30.8,17,-13.8
20040102,500,50.6,29.6,-21
20040102,600,49.6,22.4,-27.1
20040102,700,34.7,23.5,-11.2
20040102,800,64.4,46.7,-17.6
20040102,900,75.8,63.7,-12.1
20040102,1000,85,64.5,-20.6
20040102,1100,47.6,52.5,4.9
20040102,1200,17,50.9,33.9
20040102,1300,30,53.1,23.2
20040102,1400,34.2,58.4,24.2
20040102,1500,12.6,45.2,32.6
20040102,1600,10.4,52.6,42.2
20040102,1700,6.1,34.9,28.8
20040102,1800,6.8,33.5,26.7
20040102,1900,11.9,32.5,20.6
20040102,2000,8.9,23,14.1
20040102,2100,16.3,19.1,2.7
20040102,2200,27.9,24.7,-3.2
20040102,2300,59.9,36.5,-23.4
20040103,0,77.8,50.3,-27.6
20040103,100,89.1,53.6,-35.6
20040103,200,62.4,46,-16.4
20040103,300,32.7,29.1,-3.6
20040103,400,27.1,21.2,-5.9
20040103,500,43.6,28.6,-15
20040103,600,56.3,37.8,-18.5
20040103,700,41.6,23,-18.6
20040103,800,33.5,30.5,-3
20040103,900,26.1,32.5,6.4
20040103,1000,26.6,35.4,8.8
20040103,1100,30.4,38.4,8
20040103,1200,28.2,33,4.8
20040103,1300,23,42.2,19.3
20040103,1400,26.1,45.8,19.8
20040103,1500,60.2,57.4,-2.8
20040103,1600,82.4,74.3,-8.1
20040103,1700,85.1,74.3,-10.8
20040103,1800,85.5,78,-7.5
20040103,1900,74.7,80.3,5.5
20040103,2000,66.4,75.7,9.3
20040103,2100,42.1,62.4,20.3
20040103,2200,46.2,62.6,16.4
20040103,2300,51.9,60.4,8.5
20040104,0,23.4,58.5,35.1
20040104,100,64.4,75.6,11.2
20040104,200,74.5,79.1,4.6
20040104,300,82.2,80.5,-1.7
20040104,400,84.2,77.6,-6.6
20040104,500,62.7,58.5,-4.2
20040104,600,52.2,39.7,-12.6
20040104,700,47.6,44,-3.6
20040104,800,52.4,44.7,-7.7
20040104,900,64.2,42.1,-22.1
20040104,1000,59.3,47.8,-11.4
20040104,1100,48.5,35.1,-13.4
20040104,1200,44.2,31.9,-12.4
20040104,1300,52.8,33.8,-19
20040104,1400,18.9,26.4,7.5
20040104,1500,15,28.4,13.5
20040104,1600,64,35.9,-28.1
20040104,1700,87.3,50.2,-37.1
20040104,1800,85.8,48.1,-37.7
20040104,1900,88.2,52.8,-35.4
20040104,2000,86,55.4,-30.6
20040104,2100,80.5,62.7,-17.7
20040104,2200,76.7,64,-12.7
20040104,2300,39.7,61.5,21.8
20040105,0,8.3,45.8,37.5
20040105,100,7.3,17.3,10.1
20040105,200,15.3,28.4,13.2
20040105,300,30,29.8,-0.2
20040105,400,75.7,41.3,-34.3
20040105,500,96.9,51,-45.9
20040105,600,97.1,55.5,-41.6
20040105,700,95.7,45.6,-50.1
20040105,800,97,50.8,-46.2
20040105,900,86.3,49.3,-37
20040105,1000,52.2,41.9,-10.4
20040105,1100,24.7,44.5,19.8
20040105,1200,26.9,44.7,17.8
20040105,1300,46.2,48,1.8
20040105,1400,40.8,42.3,1.5
20040105,1500,61.1,47.4,-13.7
20040105,1600,87,57.8,-29.3
20040105,1700,89.2,53.7,-35.6
20040105,1800,90.5,50.7,-39.8
20040105,1900,88.7,75.4,-13.2
20040105,2000,90.5,65.6,-24.9
20040105,2100,67,57.8,-9.2
20040105,2200,85.9,68.6,-17.3
20040105,2300,89.3,66.3,-23
20040106,0,85.7,64.7,-20.9
20040106,100,83.6,58.8,-24.9
20040106,200,79.4,56.2,-23.3
20040106,300,52.9,48.5,-4.4
20040106,400,28.5,51,22.5
20040106,500,23.9,52.1,28.3
20040106,600,22.1,38.5,16.5
20040106,700,18.2,45.6,27.3
20040106,800,25.8,40.7,14.9
20040106,900,46.7,47.5,0.7
20040106,1000,42.5,49.2,6.6
20040106,1100,35.2,35.8,0.6
20040106,1200,28.9,33.9,4.9
20040106,1300,29.4,34.4,4.9
20040106,1400,32.8,35.8,3
20040106,1500,42.7,35.9,-6.8
20040106,1600,74.1,47.2,-26.9
20040106,1700,85.1,50.3,-34.7
20040106,1800,85.8,57.3,-28.5
20040106,1900,89,61.1,-27.9
20040106,2000,88.9,56.1,-32.9
20040106,2100,89,55.6,-33.4
20040106,2200,89.2,57.4,-31.8
20040106,2300,89.5,52.4,-37.1
20040107,0,91.6,53.5,-38.2
